city,lat,lng,datetime,temperature_celsius,weather
Goldach,47.4833,9.4667,2024-06-18T09:00:00,21.55000000000001,overcast clouds
Goldach,47.4833,9.4667,2024-06-18T12:00:00,22.33000000000004,overcast clouds
Goldach,47.4833,9.4667,2024-06-18T15:00:00,24.730000000000018,overcast clouds
Goldach,47.4833,9.4667,2024-06-18T18:00:00,24.060000000000002,overcast clouds
Goldach,47.4833,9.4667,2024-06-18T21:00:00,20.140000000000043,broken clouds
Goldach,47.4833,9.4667,2024-06-19T00:00:00,18.460000000000036,light rain
Goldach,47.4833,9.4667,2024-06-19T03:00:00,16.960000000000036,light rain
Goldach,47.4833,9.4667,2024-06-19T06:00:00,20.02000000000004,broken clouds
Goldach,47.4833,9.4667,2024-06-19T09:00:00,22.54000000000002,few clouds
Goldach,47.4833,9.4667,2024-06-19T12:00:00,23.850000000000023,few clouds
Goldach,47.4833,9.4667,2024-06-19T15:00:00,25.110000000000014,broken clouds
Goldach,47.4833,9.4667,2024-06-19T18:00:00,24.230000000000018,broken clouds
Goldach,47.4833,9.4667,2024-06-19T21:00:00,20.689999999999998,broken clouds
Goldach,47.4833,9.4667,2024-06-20T00:00:00,19.420000000000016,broken clouds
Goldach,47.4833,9.4667,2024-06-20T03:00:00,18.670000000000016,clear sky
Goldach,47.4833,9.4667,2024-06-20T06:00:00,21.379999999999995,few clouds
Goldach,47.4833,9.4667,2024-06-20T09:00:00,24.220000000000027,clear sky
Goldach,47.4833,9.4667,2024-06-20T12:00:00,25.720000000000027,clear sky
Arlesheim,47.4833,7.6167,2024-06-15T15:00:00,19.75,few clouds
Arlesheim,47.4833,7.6167,2024-06-15T18:00:00,17.900000000000034,broken clouds
Arlesheim,47.4833,7.6167,2024-06-15T21:00:00,11.78000000000003,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-16T00:00:00,11.050000000000011,few clouds
Arlesheim,47.4833,7.6167,2024-06-16T03:00:00,12.850000000000023,broken clouds
Arlesheim,47.4833,7.6167,2024-06-16T06:00:00,14.720000000000027,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-16T09:00:00,18.600000000000023,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-16T12:00:00,20.840000000000032,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-16T15:00:00,20.860000000000014,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-16T18:00:00,18.379999999999995,light rain
Arlesheim,47.4833,7.6167,2024-06-16T21:00:00,14.939999999999998,light rain
Arlesheim,47.4833,7.6167,2024-06-17T00:00:00,14.510000000000048,light rain
Arlesheim,47.4833,7.6167,2024-06-17T03:00:00,13.939999999999998,light rain
Arlesheim,47.4833,7.6167,2024-06-17T06:00:00,16.480000000000018,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-17T09:00:00,19.29000000000002,light rain
Arlesheim,47.4833,7.6167,2024-06-17T12:00:00,20.730000000000018,light rain
Arlesheim,47.4833,7.6167,2024-06-17T15:00:00,22.99000000000001,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-17T18:00:00,21.129999999999995,light rain
Arlesheim,47.4833,7.6167,2024-06-17T21:00:00,16.350000000000023,light rain
Arlesheim,47.4833,7.6167,2024-06-18T00:00:00,15.100000000000023,light rain
Arlesheim,47.4833,7.6167,2024-06-18T03:00:00,14.370000000000005,light rain
Arlesheim,47.4833,7.6167,2024-06-18T06:00:00,17.450000000000045,broken clouds
Arlesheim,47.4833,7.6167,2024-06-18T09:00:00,23.970000000000027,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-18T12:00:00,28.58000000000004,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-18T15:00:00,29.07000000000005,overcast clouds
Arlesheim,47.4833,7.6167,2024-06-18T18:00:00,24.439999999999998,light rain
Arlesheim,47.4833,7.6167,2024-06-18T21:00:00,20.0,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-19T00:00:00,18.710000000000036,light rain
Arlesheim,47.4833,7.6167,2024-06-19T03:00:00,18.710000000000036,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-19T06:00:00,20.200000000000045,light rain
Arlesheim,47.4833,7.6167,2024-06-19T09:00:00,25.350000000000023,few clouds
Arlesheim,47.4833,7.6167,2024-06-19T12:00:00,27.220000000000027,few clouds
Arlesheim,47.4833,7.6167,2024-06-19T15:00:00,27.28000000000003,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-19T18:00:00,24.29000000000002,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-19T21:00:00,19.910000000000025,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-20T00:00:00,19.29000000000002,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-20T03:00:00,18.350000000000023,clear sky
Arlesheim,47.4833,7.6167,2024-06-20T06:00:00,21.340000000000032,clear sky
Arlesheim,47.4833,7.6167,2024-06-20T09:00:00,28.54000000000002,scattered clouds
Arlesheim,47.4833,7.6167,2024-06-20T12:00:00,32.57000000000005,broken clouds
Zuchwil,47.2,7.5667,2024-06-15T15:00:00,20.75,scattered clouds
Zuchwil,47.2,7.5667,2024-06-15T18:00:00,17.510000000000048,light rain
Zuchwil,47.2,7.5667,2024-06-15T21:00:00,11.580000000000041,scattered clouds
Zuchwil,47.2,7.5667,2024-06-16T00:00:00,9.79000000000002,scattered clouds
Zuchwil,47.2,7.5667,2024-06-16T03:00:00,10.200000000000045,broken clouds
Zuchwil,47.2,7.5667,2024-06-16T06:00:00,13.420000000000016,broken clouds
Zuchwil,47.2,7.5667,2024-06-16T09:00:00,17.58000000000004,overcast clouds
Zuchwil,47.2,7.5667,2024-06-16T12:00:00,21.57000000000005,broken clouds
Zuchwil,47.2,7.5667,2024-06-16T15:00:00,22.650000000000034,scattered clouds
Zuchwil,47.2,7.5667,2024-06-16T18:00:00,18.07000000000005,light rain
Zuchwil,47.2,7.5667,2024-06-16T21:00:00,13.910000000000025,light rain
Zuchwil,47.2,7.5667,2024-06-17T00:00:00,13.54000000000002,light rain
Zuchwil,47.2,7.5667,2024-06-17T03:00:00,13.180000000000007,light rain
Zuchwil,47.2,7.5667,2024-06-17T06:00:00,15.350000000000023,overcast clouds
Zuchwil,47.2,7.5667,2024-06-17T09:00:00,21.04000000000002,light rain
Zuchwil,47.2,7.5667,2024-06-17T12:00:00,23.110000000000014,light rain
Zuchwil,47.2,7.5667,2024-06-17T15:00:00,23.460000000000036,light rain
Zuchwil,47.2,7.5667,2024-06-17T18:00:00,20.80000000000001,overcast clouds
Zuchwil,47.2,7.5667,2024-06-17T21:00:00,15.920000000000016,broken clouds
Zuchwil,47.2,7.5667,2024-06-18T00:00:00,14.270000000000039,light rain
Zuchwil,47.2,7.5667,2024-06-18T03:00:00,13.600000000000023,overcast clouds
Zuchwil,47.2,7.5667,2024-06-18T06:00:00,16.5,overcast clouds
Zuchwil,47.2,7.5667,2024-06-18T09:00:00,23.52000000000004,overcast clouds
Zuchwil,47.2,7.5667,2024-06-18T12:00:00,28.220000000000027,overcast clouds
Zuchwil,47.2,7.5667,2024-06-18T15:00:00,29.0,overcast clouds
Zuchwil,47.2,7.5667,2024-06-18T18:00:00,24.900000000000034,overcast clouds
Zuchwil,47.2,7.5667,2024-06-18T21:00:00,19.010000000000048,broken clouds
Zuchwil,47.2,7.5667,2024-06-19T00:00:00,18.0,light rain
Zuchwil,47.2,7.5667,2024-06-19T03:00:00,16.150000000000034,few clouds
Zuchwil,47.2,7.5667,2024-06-19T06:00:00,19.24000000000001,light rain
Zuchwil,47.2,7.5667,2024-06-19T09:00:00,26.939999999999998,clear sky
Zuchwil,47.2,7.5667,2024-06-19T12:00:00,30.129999999999995,clear sky
