id,flightType,SDT,STA,ETA,ATA,RTK,TER,FBR,LBR,BDC,FLC,airlineLogo,FLN,REG,statusCode,statusTextDe,statusTextEn,airportName,cityDe,cityEn,search,POR,ICT,TYP,TYS,model,manufacturerName,isSchengen,isCommercial,airline,codeShare,viaAirportName,viaCityDe,viaCityEn,STD,ETD,ATD,CAM,CAA,GAT,PDS,EBT,CIR
1649094,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1712,,,,,International Airport,Neapel,Naples,LX1712 LX 1712 SWISS  NAP International Airport Neapel Naples       ,,E190,EMJ,E90,ERJ-190,Embraer,True,True,SWISS,,,,,2024-06-16T05:45:00Z,,,1,3,,NAP,,
1649095,D,2024-06-16T00:00:00Z,,,,,,,,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,176,,,,,Antalya,Antalya,Antalya,WK176 WK 176 EDELWEISS  AYT Antalya Antalya Antalya       LX_8176_SWR WK0176 WK 0176 LX8176 LX 8176,,A320,320,320,A320,Airbus,,True,EDELWEISS,LX_8176_SWR,,,,2024-06-16T04:30:00Z,,,1,3,,AYT,,
1649096,D,2024-06-16T00:00:00Z,,,,,,,,,KL,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/klm.svg?vs=1&rev=4b8ef62311eb45909066dc822fca5058,1920,,90.0,,,Schiphol,Amsterdam,Amsterdam,KL1920 KL 1920 KLM ROYAL DUTCH AIRL  AMS Schiphol Amsterdam Amsterdam       ,,E295,EMJ,295,ERJ-195 E2,Embraer,True,True,KLM ROYAL DUTCH AIRL,,,,,2024-06-16T09:50:00Z,,,2,,,AMS,,2
1649097,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,016,,,,,John F. Kennedy International Airport,New York,New York,LX016 LX 016 SWISS  JFK John F. Kennedy International Airport New York New York       UA_9718_UAL LX16 LX0016 LX 0016 UA9718 UA 9718,,A333,330,333,A330-300,Airbus,,True,SWISS,UA_9718_UAL,,,,2024-06-16T08:00:00Z,,,1,3,,JFK,,
1649098,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1210,,,,,Gardermoen,Oslo,Oslo,LX1210 LX 1210 SWISS  OSL Gardermoen Oslo Oslo       SK_3516_SAS SK3516 SK 3516,,E295,EMJ,295,ERJ-195 E2,Embraer,True,True,SWISS,SK_3516_SAS,,,,2024-06-16T08:50:00Z,,,1,3,,OSL,,
1649099,D,2024-06-16T00:00:00Z,,,,,,,,,TK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/turkish.svg?vs=1&rev=0136fab87b604d5694f060684f417b3d,1914,,90.0,,,International Airport,Istanbul,Istanbul,"TK1914 TK 1914 TURKISH AIRLINES  IST International Airport Istanbul Istanbul       OM_1018_MGL, PK_5914_PIA OM1018 OM 1018 PK5914 PK 5914",,A321,321,321,A321,Airbus,,True,TURKISH AIRLINES,"OM_1018_MGL, PK_5914_PIA",,,,2024-06-16T13:00:00Z,,,2,,,IST,,3
1649100,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1222,,,,,Landvetter,Göteborg,Gothenburg,LX1222 LX 1222 SWISS  GOT Landvetter Göteborg Gothenburg       ,,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,2024-06-16T10:00:00Z,,,1,3,,GOT,,
1649101,D,2024-06-16T00:00:00Z,,,,,,,,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,370,,,,,International Airport,Larnaka,Larnaca,WK370 WK 370 EDELWEISS  LCA International Airport Larnaka Larnaca       LX_8370_SWR WK0370 WK 0370 LX8370 LX 8370,,A320,320,320,A320,Airbus,,True,EDELWEISS,LX_8370_SWR,,,,2024-06-16T12:45:00Z,,,1,3,,LCA,,
1649102,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1072,,,,,Main Intl.,Frankfurt,Frankfurt,LX1072 LX 1072 SWISS  FRA Main Intl. Frankfurt Frankfurt       LH_5739_DLH LH5739 LH 5739,,BCS3,220,223,A220-300,Airbus,True,True,SWISS,LH_5739_DLH,,,,2024-06-16T10:50:00Z,,,1,3,,FRA,,
1649103,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,464,,,,,City,London,London,LX464 LX 464 SWISS  LCY City London London        LX0464 LX 0464,,BCS1,220,221,A220-100,Airbus,,True,SWISS,,,,,2024-06-16T14:45:00Z,,,1,3,,LCY,,
1649104,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1682,,,,,Peretola,Florenz,Florence,LX1682 LX 1682 SWISS  FLR Peretola Florenz Florence       ,,E290,EMJ,290,ERJ-190 E2,Embraer,True,True,SWISS,,,,,2024-06-16T19:25:00Z,,,1,,,FLR,,
1649105,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2802,,,,,International Airport,Genf,Geneva,"LX2802 LX 2802 SWISS  GVA International Airport Genf Geneva       CX_6605_CPA, EY_6217_ETD, SK_3526_SAS, AC_6809_ACA CX6605 CX 6605 EY6217 EY 6217 SK3526 SK 3526 AC6809 AC 6809",,A320,320,320,A320,Airbus,True,True,SWISS,"CX_6605_CPA, EY_6217_ETD, SK_3526_SAS, AC_6809_ACA",,,,2024-06-16T05:25:00Z,,,1,3,,GVA,,
1649106,D,2024-06-16T00:00:00Z,,,,,,,,,UA,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/united.jpg?vs=1&rev=b46120f7ec0c43609a2f758e7e9c053d,045,,90.0,,,International Airport,San Francisco,San Francisco,UA045 UA 045 UNITED AIRLINES  SFO International Airport San Francisco San Francisco        UA45 UA0045 UA 0045,,B772,777,772,B777-200,Boeing,,True,UNITED AIRLINES,,,,,2024-06-16T11:35:00Z,,,2,,,SFO,,4
1649107,D,2024-06-16T00:00:00Z,,,,,,,,,GM,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/chair.svg?vs=1&rev=06e62bc9d6bf4ad69eca26a2cdb34af4,630,HBJOK,90.0,,,International Airport,Skopje,Skopje,GM630 GM 630 CHAIR AIRLINES AG  SKP International Airport Skopje Skopje        GM0630 GM 0630,,A320,320,320,A320,Airbus,,True,CHAIR AIRLINES AG,,,,,2024-06-16T15:10:00Z,,,2,,,SKP,,5
1649108,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,638,,,,,Ch. De Gaulle,Paris,Paris,LX638 LX 638 SWISS  CDG Ch. De Gaulle Paris Paris        LX0638 LX 0638,,BCS3,220,223,A220-300,Airbus,True,True,SWISS,,,,,2024-06-16T10:55:00Z,,,1,3,,CDG,,
1649109,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1628,,,,,Malpensa,Mailand,Milan,LX1628 LX 1628 SWISS  MXP Malpensa Mailand Milan       AC_6786_ACA AC6786 AC 6786,,E190,EMJ,E90,ERJ-190,Embraer,True,True,SWISS,AC_6786_ACA,,,,2024-06-16T11:00:00Z,,,1,3,,MXP,,
1649110,D,2024-06-16T00:00:00Z,,,,,,,,,GM,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/chair.svg?vs=1&rev=06e62bc9d6bf4ad69eca26a2cdb34af4,804,HBJOJ,90.0,,,Hippokratis International Airport,Kos,Kos,GM804 GM 804 CHAIR AIRLINES AG  KGS Hippokratis International Airport Kos Kos        GM0804 GM 0804,,A319,319,319,A319,Airbus,True,True,CHAIR AIRLINES AG,,,,,2024-06-16T09:55:00Z,,,2,,,KGS,,5
1649111,D,2024-06-16T00:00:00Z,,,,,,,,,QR,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/qatar.svg?vs=1&rev=694826a45045492ca679a6974c0acf6b,094,,90.0,,,Hamad International Airport,Doha,Doha,"QR094 QR 094 QATAR AIRWAYS  DOH Hamad International Airport Doha Doha       UL_3494_ALK, VA_6090_VAU, MH_9228_MAS, WB_1106_RWD, WY_6400_OMA, FB_1929_LZB QR94 QR0094 QR 0094 UL3494 UL 3494 VA6090 VA 6090 MH9228 MH 9228 WB1106 WB 1106 WY6400 WY 6400 FB1929 FB 1929",,A359,350,359,A350-900,Airbus,,True,QATAR AIRWAYS,"UL_3494_ALK, VA_6090_VAU, MH_9228_MAS, WB_1106_RWD, WY_6400_OMA, FB_1929_LZB",,,,2024-06-16T07:40:00Z,,,2,,,DOH,,1
1649112,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2064,,,,,Francisco sá Carneiro,Porto,Porto,"LX2064 LX 2064 SWISS  OPO Francisco sá Carneiro Porto Porto       TP_6756_TAP, AC_6834_ACA TP6756 TP 6756 AC6834 AC 6834",,E295,EMJ,295,ERJ-195 E2,Embraer,True,True,SWISS,"TP_6756_TAP, AC_6834_ACA",,,,2024-06-16T14:50:00Z,,,1,3,,OPO,,
1649113,D,2024-06-16T00:00:00Z,,,,,,,,,WK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/edelweiss.svg?vs=1&rev=c62a851a074242b3817b8cb7b10efad7,228,,,,,Airport,Lanzarote,Lanzarote,WK228 WK 228 EDELWEISS  ACE Airport Lanzarote Lanzarote       LX_8228_SWR WK0228 WK 0228 LX8228 LX 8228,,A320,320,320,A320,Airbus,True,True,EDELWEISS,LX_8228_SWR,,,,2024-06-16T04:00:00Z,,,1,3,,ACE,,
1649114,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1018,,,,,International Airport,Düsseldorf,Düsseldorf,"LX1018 LX 1018 SWISS  DUS International Airport Düsseldorf Düsseldorf       UA_9772_UAL, SQ_2948_SIA UA9772 UA 9772 SQ2948 SQ 2948",,BCS3,220,223,A220-300,Airbus,True,True,SWISS,"UA_9772_UAL, SQ_2948_SIA",,,,2024-06-16T10:45:00Z,,,1,3,,DUS,,
1649115,D,2024-06-16T00:00:00Z,,,,,,,,,UX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/europa.svg?vs=1&rev=000d6747b9ec452089b94883bc3c779e,1676,,90.0,,,Barajaz - Adolfo Suárez Airport,Madrid,Madrid,UX1676 UX 1676 AIR EUROPA  MAD Barajaz - Adolfo Suárez Airport Madrid Madrid       ,,B738,73H,73H,B737-800 (Winglets),Boeing,True,True,AIR EUROPA,,,,,2024-06-16T09:10:00Z,,,2,,,MAD,,3
1649116,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,780,,,,,National,Brüssel,Brussels,"LX780 LX 780 SWISS  BRU National Brüssel Brussels       SQ_2980_SIA, SN_5108_BEL, AC_6779_ACA LX0780 LX 0780 SQ2980 SQ 2980 SN5108 SN 5108 AC6779 AC 6779",,E190,EMJ,E90,ERJ-190,Embraer,True,True,SWISS,"SQ_2980_SIA, SN_5108_BEL, AC_6779_ACA",,,,2024-06-16T10:55:00Z,,,1,3,,BRU,,
1649117,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1248,,,,,Arlanda,Stockholm,Stockholm,"LX1248 LX 1248 SWISS  ARN Arlanda Stockholm Stockholm       AC_6851_ACA, SK_3508_SAS AC6851 AC 6851 SK3508 SK 3508",,BCS3,220,223,A220-300,Airbus,True,True,SWISS,"AC_6851_ACA, SK_3508_SAS",,,,2024-06-16T07:55:00Z,,,1,3,,ARN,,
